                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1294,                 5.0129,                 2.5745,                0.46159,                0.36919,                0.37733,                0.20363,                 3.3161,                 4.3484,                  3.661,             0.00037011,             0.00037011,             0.00037011
                      2,                 2.1767,                 3.2215,                 2.6028,                0.56732,                0.32984,                0.36632,                0.18397,                 3.4977,                 4.1856,                 3.6177,             0.00071601,             0.00071601,             0.00071601
                      3,                 2.0757,                 2.8307,                 2.5406,                0.69677,                0.43721,                0.49507,                0.28248,                 3.0911,                 3.3661,                 3.2907,              0.0010375,              0.0010375,              0.0010375
                      4,                 1.9333,                 2.4761,                 2.4331,                0.73986,                0.52285,                0.63136,                0.36634,                 2.9221,                  2.919,                 3.1895,               0.001001,               0.001001,               0.001001
                      5,                 1.8461,                 2.2227,                 2.3742,                 0.6686,                0.65045,                0.70427,                0.44033,                 2.8821,                 2.4979,                 3.0959,             0.00096435,             0.00096435,             0.00096435
                      6,                 1.7665,                 1.9962,                 2.3121,                0.83977,                0.67279,                0.79828,                0.49329,                 2.6381,                 2.1696,                 2.8685,             0.00092769,             0.00092769,             0.00092769
                      7,                 1.6865,                 1.8758,                 2.2684,                0.77751,                0.68107,                0.75294,                0.49208,                 2.4683,                 2.0911,                 2.7765,             0.00089102,             0.00089102,             0.00089102
                      8,                 1.6319,                 1.7242,                 2.2347,                0.85942,                0.70975,                0.80709,                0.51803,                 2.5403,                 1.8949,                 2.7782,             0.00085436,             0.00085436,             0.00085436
                      9,                 1.6014,                 1.6435,                 2.2028,                0.86809,                0.72165,                 0.8435,                0.54284,                 2.4545,                 1.8354,                 2.7163,              0.0008177,              0.0008177,              0.0008177
                     10,                 1.5562,                 1.5222,                 2.1925,                0.87138,                 0.7243,                0.85765,                0.57105,                 2.3917,                 1.5896,                 2.6652,             0.00078103,             0.00078103,             0.00078103
                     11,                 1.5293,                 1.4672,                 2.1742,                0.87017,                0.74586,                0.84521,                 0.5588,                 2.3522,                 1.7803,                  2.645,             0.00074437,             0.00074437,             0.00074437
                     12,                 1.4938,                 1.4048,                 2.1482,                0.88371,                0.79399,                0.89144,                0.62055,                 2.2693,                 1.4414,                 2.5314,             0.00070771,             0.00070771,             0.00070771
                     13,                  1.499,                 1.3918,                 2.1442,                0.87905,                0.83324,                0.91822,                0.61809,                 2.2839,                 1.3489,                 2.5838,             0.00067104,             0.00067104,             0.00067104
                     14,                   1.45,                 1.2964,                 2.1287,                0.89158,                0.84028,                0.92234,                0.63398,                 2.2395,                 1.3359,                 2.5703,             0.00063438,             0.00063438,             0.00063438
                     15,                 1.4144,                 1.2434,                 2.1006,                0.89913,                0.83844,                0.92961,                0.65672,                 2.1952,                 1.3024,                 2.5398,             0.00059772,             0.00059772,             0.00059772
                     16,                 1.4029,                 1.1949,                 2.0913,                0.87631,                0.86439,                 0.9291,                0.66363,                 2.1666,                 1.1962,                 2.5013,             0.00056105,             0.00056105,             0.00056105
                     17,                  1.365,                 1.1713,                 2.0788,                0.86233,                0.86297,                 0.9405,                0.66339,                 2.1387,                 1.1951,                 2.5109,             0.00052439,             0.00052439,             0.00052439
                     18,                 1.3722,                 1.1331,                 2.0755,                0.91728,                0.83742,                0.92609,                0.65887,                 2.1536,                 1.1757,                 2.4977,             0.00048773,             0.00048773,             0.00048773
                     19,                 1.3278,                 1.0872,                 2.0583,                0.93438,                 0.8534,                0.94168,                0.66696,                 2.0883,                 1.1274,                 2.4412,             0.00045107,             0.00045107,             0.00045107
                     20,                 1.3228,                  1.065,                 2.0491,                0.90966,                0.89158,                0.95491,                0.68154,                 2.0769,                 1.0935,                 2.4337,              0.0004144,              0.0004144,              0.0004144
                     21,                 1.2438,                0.79471,                 1.9829,                0.89399,                0.83749,                0.92499,                0.66992,                 2.0964,                 1.1519,                 2.4425,             0.00037774,             0.00037774,             0.00037774
                     22,                 1.2181,                 0.7603,                 1.9676,                0.91441,                0.81366,                0.92537,                0.66276,                 2.1002,                 1.1252,                 2.4467,             0.00034108,             0.00034108,             0.00034108
                     23,                 1.2049,                 0.7255,                 1.9552,                0.84765,                0.90999,                 0.9427,                0.67722,                 2.0495,                 1.0706,                 2.4133,             0.00030441,             0.00030441,             0.00030441
                     24,                 1.1716,                0.68407,                 1.9373,                0.89569,                0.89938,                0.94176,                0.68097,                 2.0756,                 1.0397,                  2.423,             0.00026775,             0.00026775,             0.00026775
                     25,                 1.1471,                0.66265,                 1.9146,                0.90551,                0.91192,                0.95999,                0.69084,                 2.0642,                 1.0503,                 2.3902,             0.00023109,             0.00023109,             0.00023109
                     26,                 1.1248,                0.61407,                 1.9084,                0.91051,                 0.9302,                0.96588,                0.70746,                 2.0492,                0.99746,                 2.3916,             0.00019442,             0.00019442,             0.00019442
                     27,                 1.1061,                0.59403,                 1.8962,                 0.9478,                0.87692,                0.96233,                0.70831,                 2.0291,                 1.0107,                 2.3813,             0.00015776,             0.00015776,             0.00015776
                     28,                  1.066,                0.56705,                 1.8734,                0.93752,                0.89976,                0.95876,                0.71288,                 1.9998,                0.96547,                 2.3592,              0.0001211,              0.0001211,              0.0001211
                     29,                 1.0476,                0.54192,                 1.8625,                 0.9324,                0.90586,                0.96572,                0.70778,                 1.9831,                0.93954,                 2.3548,             8.4436e-05,             8.4436e-05,             8.4436e-05
                     30,                 1.0389,                 0.5251,                 1.8599,                0.94937,                0.90776,                0.96964,                 0.7142,                 1.9772,                0.92682,                 2.3479,             4.7773e-05,             4.7773e-05,             4.7773e-05
